,pays,cluster
11,Bangladesh,1
15,Belize,1
12,Bolivie (État plurinational de),1
13,Botswana,1
21,Cabo Verde,1
78,Cambodge,1
28,Congo,1
45,Djibouti,1
40,El Salvador,1
140,Eswatini,1
42,Fidji,1
47,Gabon,1
55,Guatemala,1
46,Géorgie,1
58,Haïti,1
59,Honduras,1
64,Inde,1
65,Indonésie,1
85,Lesotho,1
102,Namibie,1
109,Nicaragua,1
103,Népal,1
113,Pakistan,1
116,Paraguay,1
118,Philippines,1
117,Pérou,1
22,République centrafricaine,1
101,République de Moldova,1
83,République démocratique populaire lao,1
79,République populaire démocratique de Corée,1
23,Sri Lanka,1
138,Suriname,1
146,Thaïlande,1
107,Vanuatu,1
160,Venezuela (République bolivarienne du),1
123,Zimbabwe,1
38,Équateur,1
81,Koweït,2
92,Maldives,2
149,Oman,2
1,Afghanistan,3
4,Angola,3
157,Burkina Faso,3
33,Bénin,3
19,Cameroun,3
71,Côte d'Ivoire,3
48,Gambie,3
51,Ghana,3
56,Guinée,3
121,Guinée-Bissau,3
67,Iraq,3
75,Jordanie,3
77,Kenya,3
84,Liban,3
86,Libéria,3
89,Madagascar,3
90,Malawi,3
93,Mali,3
95,Mauritanie,3
100,Mozambique,3
110,Niger,3
111,Nigéria,3
153,Ouganda,3
125,Rwanda,3
145,République-Unie de Tanzanie,3
130,Sao Tomé-et-Principe,3
133,Sierra Leone,3
132,Sénégal,3
139,Tadjikistan,3
24,Tchad,3
122,Timor-Leste,3
147,Togo,3
164,Yémen,3
165,Zambie,3
162,Éthiopie,3
16,Îles Salomon,3
2,Albanie,4
49,Allemagne,4
6,Argentine,4
7,Australie,4
8,Autriche,4
166,Belgique,4
20,Canada,4
60,Chine - RAS de Hong-Kong,4
88,Chine - RAS de Macao,4
34,Danemark,4
137,Espagne,4
41,Estonie,4
43,Finlande,4
53,Grèce,4
68,Irlande,4
63,Islande,4
69,Israël,4
70,Italie,4
87,Lituanie,4
167,Luxembourg,4
94,Malte,4
169,Monténégro,4
112,Norvège,4
104,Pays-Bas,4
119,Pologne,4
120,Portugal,4
124,Roumanie,4
141,Suède,4
156,États-Unis d'Amérique,4
136,Afrique du Sud,5
3,Algérie,5
5,Antigua-et-Barbuda,5
131,Arabie saoudite,5
0,Arménie,5
32,Azerbaïdjan,5
9,Bahamas,5
10,Barbade,5
50,Bosnie-Herzégovine,5
14,Brésil,5
17,Bulgarie,5
37,Bélarus,5
25,Chili,5
144,"Chine, Taiwan Province de",5
26,"Chine, continentale",5
31,Chypre,5
27,Colombie,5
29,Costa Rica,5
62,Croatie,5
30,Cuba,5
35,Dominique,5
126,Fédération de Russie,5
54,Grenade,5
57,Guyana,5
61,Hongrie,5
66,Iran (République islamique d'),5
73,Jamaïque,5
74,Japon,5
72,Kazakhstan,5
76,Kirghizistan,5
52,Kiribati,5
82,Lettonie,5
106,Macédoine du Nord,5
91,Malaisie,5
99,Maroc,5
96,Maurice,5
97,Mexique,5
98,Mongolie,5
18,Myanmar,5
105,Nouvelle-Calédonie,5
108,Nouvelle-Zélande,5
159,Ouzbékistan,5
114,Panama,5
44,Polynésie française,5
154,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,5
80,République de Corée,5
36,République dominicaine,5
127,Saint-Kitts-et-Nevis,5
129,Saint-Vincent-et-les Grenadines,5
128,Sainte-Lucie,5
163,Samoa,5
168,Serbie,5
135,Slovaquie,5
134,Slovénie,5
142,Suisse,5
115,Tchéquie,5
148,Trinité-et-Tobago,5
150,Tunisie,5
143,Turkménistan,5
151,Turquie,5
155,Ukraine,5
158,Uruguay,5
161,Viet Nam,5
39,Égypte,5
152,Émirats arabes unis,5
