,pays,cluster
0,Albanie,1
8,Allemagne,1
3,Autriche,1
33,Belgique,1
10,Chine - RAS de Hong-Kong,1
5,Danemark,1
27,Espagne,1
6,Estonie,1
7,Finlande,1
9,Grèce,1
12,Irlande,1
11,Islande,1
14,Italie,1
16,Lituanie,1
18,Malte,1
35,Monténégro,1
21,Norvège,1
20,Pays-Bas,1
22,Pologne,1
23,Portugal,1
24,Roumanie,1
30,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,1
28,Suède,1
17,Chine - RAS de Macao,2
34,Luxembourg,2
2,Australie,3
4,Canada,3
13,Israël,3
29,Émirats arabes unis,3
31,États-Unis d'Amérique,3
26,Afrique du Sud,4
25,Arabie saoudite,4
15,Japon,4
19,Mexique,4
32,Viet Nam,4
1,Argentine,5
